Year,Geography,Persons in low income,GeoCode,Value
2017,Newfoundland and Labrador,"Females, 18 to 64 years",,14.6
2017,Newfoundland and Labrador,"Females, 65 years and over",,24.3
2017,Prince Edward Island,All persons,11,14.4
2017,Prince Edward Island,Persons under 18 years,,12.1
2017,Prince Edward Island,Persons 18 to 64 years,,13.4
2017,Prince Edward Island,Persons 65 years and over,,19.8
2017,Prince Edward Island,Males,,14.3
2017,Prince Edward Island,"Males, under 18 years",,14
2017,Prince Edward Island,"Males, 18 to 64 years",,13.5
2017,Prince Edward Island,"Males, 65 years and over",,17.6
2017,Prince Edward Island,Females,,14.5
2017,Prince Edward Island,"Females, under 18 years",,10
2017,Prince Edward Island,"Females, 18 to 64 years",,13.4
2017,Prince Edward Island,"Females, 65 years and over",,21.7
2017,Nova Scotia,All persons,12,17.5
2017,Nova Scotia,Persons under 18 years,,19.3
2017,Nova Scotia,Persons 18 to 64 years,,16.9
2017,Nova Scotia,Persons 65 years and over,,17.9
2017,Nova Scotia,Males,,16.1
2017,Nova Scotia,"Males, under 18 years",,17.1
2017,Nova Scotia,"Males, 18 to 64 years",,15.8
2017,Nova Scotia,"Males, 65 years and over",,16
2017,Nova Scotia,Females,,18.8
2017,Nova Scotia,"Females, under 18 years",,21.7
2017,Nova Scotia,"Females, 18 to 64 years",,17.8
2017,Nova Scotia,"Females, 65 years and over",,19.6
2017,New Brunswick,All persons,13,15
2017,New Brunswick,Persons under 18 years,,16.1
2017,New Brunswick,Persons 18 to 64 years,,13.2
2017,New Brunswick,Persons 65 years and over,,19.3
2017,New Brunswick,Males,,13.8
2017,New Brunswick,"Males, under 18 years",,16.6
2017,New Brunswick,"Males, 18 to 64 years",,12.1
2017,New Brunswick,"Males, 65 years and over",,16.4
2017,New Brunswick,Females,,16.1
2017,New Brunswick,"Females, under 18 years",,15.7
2017,New Brunswick,"Females, 18 to 64 years",,14.3
2017,New Brunswick,"Females, 65 years and over",,21.9
2017,Quebec,All persons,24,14.4
2017,Quebec,Persons under 18 years,,10.5
2017,Quebec,Persons 18 to 64 years,,13.2
2017,Quebec,Persons 65 years and over,,22.3
2017,Quebec,Males,,13.1
2017,Quebec,"Males, under 18 years",,10.5
2017,Quebec,"Males, 18 to 64 years",,12.9
2017,Quebec,"Males, 65 years and over",,16.9
2017,Quebec,Females,,15.7
2017,Quebec,"Females, under 18 years",,10.6
2017,Quebec,"Females, 18 to 64 years",,13.6
2017,Quebec,"Females, 65 years and over",,27
2017,Ontario,All persons,35,12.7
2017,Ontario,Persons under 18 years,,13
2017,Ontario,Persons 18 to 64 years,,12.8
2017,Ontario,Persons 65 years and over,,11.9
2017,Ontario,Males,,12.3
2017,Ontario,"Males, under 18 years",,12.1
2017,Ontario,"Males, 18 to 64 years",,13.1
2017,Ontario,"Males, 65 years and over",,9.4
2017,Ontario,Females,,13.1
2017,Ontario,"Females, under 18 years",,14
2017,Ontario,"Females, 18 to 64 years",,12.6
2017,Ontario,"Females, 65 years and over",,14
2017,Prairie provinces,All persons,,9.6
2017,Prairie provinces,Persons under 18 years,,10.9
2017,Prairie provinces,Persons 18 to 64 years,,9.3
2017,Prairie provinces,Persons 65 years and over,,8.8
2017,Prairie provinces,Males,,8.7
2017,Prairie provinces,"Males, under 18 years",,9.8
2017,Prairie provinces,"Males, 18 to 64 years",,8.6
2017,Prairie provinces,"Males, 65 years and over",,7
2017,Prairie provinces,Females,,10.5
2017,Prairie provinces,"Females, under 18 years",,12
2017,Prairie provinces,"Females, 18 to 64 years",,10
2017,Prairie provinces,"Females, 65 years and over",,10.4
2017,Manitoba,All persons,46,14.5
2017,Manitoba,Persons under 18 years,,19
2017,Manitoba,Persons 18 to 64 years,,12.9
2017,Manitoba,Persons 65 years and over,,15.1
2017,Manitoba,Males,,13.2
2017,Manitoba,"Males, under 18 years",,16.9
2017,Manitoba,"Males, 18 to 64 years",,12.2
2017,Manitoba,"Males, 65 years and over",,12
2017,Manitoba,Females,,15.8
2017,Manitoba,"Females, under 18 years",,21.1
2017,Manitoba,"Females, 18 to 64 years",,13.5
2017,Manitoba,"Females, 65 years and over",,17.7
2017,Saskatchewan,All persons,47,13
2017,Saskatchewan,Persons under 18 years,,15.4
2017,Saskatchewan,Persons 18 to 64 years,,11.6
2017,Saskatchewan,Persons 65 years and over,,15.4
2017,Saskatchewan,Males,,12.3
2017,Saskatchewan,"Males, under 18 years",,14.9
2017,Saskatchewan,"Males, 18 to 64 years",,11.3
2017,Saskatchewan,"Males, 65 years and over",,12.7
2017,Saskatchewan,Females,,13.7
2017,Saskatchewan,"Females, under 18 years",,15.9
2017,Saskatchewan,"Females, 18 to 64 years",,11.9
2017,Saskatchewan,"Females, 65 years and over",,17.8
2017,Alberta,All persons,48,7.2
2017,Alberta,Persons under 18 years,,7.3
2017,Alberta,Persons 18 to 64 years,,7.7
2017,Alberta,Persons 65 years and over,,4.4
2017,Alberta,Males,,6.4
2017,Alberta,"Males, under 18 years",,6.3
2017,Alberta,"Males, 18 to 64 years",,7
2017,Alberta,"Males, 65 years and over",,3.4
2017,Alberta,Females,,8
2017,Alberta,"Females, under 18 years",,8.4
2017,Alberta,"Females, 18 to 64 years",,8.5
2017,Alberta,"Females, 65 years and over",,5.4
2017,British Columbia,All persons,59,11.7
2017,British Columbia,Persons under 18 years,,10.5
2017,British Columbia,Persons 18 to 64 years,,11.1
2017,British Columbia,Persons 65 years and over,,14.9
2017,British Columbia,Males,,11
2017,British Columbia,"Males, under 18 years",,11.7
2017,British Columbia,"Males, 18 to 64 years",,10.5
2017,British Columbia,"Males, 65 years and over",,11.8
2017,British Columbia,Females,,12.4
2017,British Columbia,"Females, under 18 years",,9.2
2017,British Columbia,"Females, 18 to 64 years",,11.7
2017,British Columbia,"Females, 65 years and over",,17.8
2017,"Québec, Quebec",All persons,,8.7
2017,"Québec, Quebec",Persons under 18 years,,
2017,"Québec, Quebec",Persons 18 to 64 years,,7.1
2017,"Québec, Quebec",Persons 65 years and over,,17.8
2017,"Québec, Quebec",Males,,7.7
2017,"Québec, Quebec","Males, under 18 years",,
2017,"Québec, Quebec","Males, 18 to 64 years",,6.5
2017,"Québec, Quebec","Males, 65 years and over",,13.7
2017,"Québec, Quebec",Females,,9.8
2017,"Québec, Quebec","Females, under 18 years",,
2017,"Québec, Quebec","Females, 18 to 64 years",,7.7
2017,"Québec, Quebec","Females, 65 years and over",,21.7
2017,"Montréal, Quebec",All persons,,15.6
2017,"Montréal, Quebec",Persons under 18 years,,12.6
2017,"Montréal, Quebec",Persons 18 to 64 years,,14.9
2017,"Montréal, Quebec",Persons 65 years and over,,22.4
2017,"Montréal, Quebec",Males,,14.7
2017,"Montréal, Quebec","Males, under 18 years",,12.9
2017,"Montréal, Quebec","Males, 18 to 64 years",,14.7
2017,"Montréal, Quebec","Males, 65 years and over",,17.1
2017,"Montréal, Quebec",Females,,16.6
2017,"Montréal, Quebec","Females, under 18 years",,12.2
2017,"Montréal, Quebec","Females, 18 to 64 years",,15.1
2017,"Montréal, Quebec","Females, 65 years and over",,26.6
2017,"Ottawa-Gatineau, Ontario/Quebec",All persons,,10.9
2017,"Ottawa-Gatineau, Ontario/Quebec",Persons under 18 years,,11.3
2017,"Ottawa-Gatineau, Ontario/Quebec",Persons 18 to 64 years,,10.6
2017,"Ottawa-Gatineau, Ontario/Quebec",Persons 65 years and over,,11.9
2017,"Ottawa-Gatineau, Ontario/Quebec",Males,,10.8
2017,"Ottawa-Gatineau, Ontario/Quebec","Males, under 18 years",,12.1
2017,"Ottawa-Gatineau, Ontario/Quebec","Males, 18 to 64 years",,10.7
2017,"Ottawa-Gatineau, Ontario/Quebec","Males, 65 years and over",,9.1
2017,"Ottawa-Gatineau, Ontario/Quebec",Females,,11.1
2017,"Ottawa-Gatineau, Ontario/Quebec","Females, under 18 years",,10.4
2017,"Ottawa-Gatineau, Ontario/Quebec","Females, 18 to 64 years",,10.5
2017,"Ottawa-Gatineau, Ontario/Quebec","Females, 65 years and over",,14
2017,"Toronto, Ontario",All persons,,12.4
2017,"Toronto, Ontario",Persons under 18 years,,12.7
2017,"Toronto, Ontario",Persons 18 to 64 years,,12.6
2017,"Toronto, Ontario",Persons 65 years and over,,11.2
2017,"Toronto, Ontario",Males,,12.3
2017,"Toronto, Ontario","Males, under 18 years",,11.2
2017,"Toronto, Ontario","Males, 18 to 64 years",,13.1
2017,"Toronto, Ontario","Males, 65 years and over",,9.7
2017,"Toronto, Ontario",Females,,12.5
2017,"Toronto, Ontario","Females, under 18 years",,14.2
2017,"Toronto, Ontario","Females, 18 to 64 years",,12
2017,"Toronto, Ontario","Females, 65 years and over",,12.5
2017,"Winnipeg, Manitoba",All persons,,14.4
2017,"Winnipeg, Manitoba",Persons under 18 years,,18.4
2017,"Winnipeg, Manitoba",Persons 18 to 64 years,,13.2
2017,"Winnipeg, Manitoba",Persons 65 years and over,,14.5
2017,"Winnipeg, Manitoba",Males,,13.3
2017,"Winnipeg, Manitoba","Males, under 18 years",,15.3
2017,"Winnipeg, Manitoba","Males, 18 to 64 years",,13
2017,"Winnipeg, Manitoba","Males, 65 years and over",,11.7
2017,"Winnipeg, Manitoba",Females,,15.6
2017,"Winnipeg, Manitoba","Females, under 18 years",,21.5
2017,"Winnipeg, Manitoba","Females, 18 to 64 years",,13.5
2017,"Winnipeg, Manitoba","Females, 65 years and over",,16.8
2017,"Calgary, Alberta",All persons,,6.4
2017,"Calgary, Alberta",Persons under 18 years,,7.8
2017,"Calgary, Alberta",Persons 18 to 64 years,,6.6
2017,"Calgary, Alberta",Persons 65 years and over,,
2017,"Calgary, Alberta",Males,,5.7
2017,"Calgary, Alberta","Males, under 18 years",,4.8
2017,"Calgary, Alberta","Males, 18 to 64 years",,6.5
2017,"Calgary, Alberta","Males, 65 years and over",,
2017,"Calgary, Alberta",Females,,7.1
2017,"Calgary, Alberta","Females, under 18 years",,10.2
2017,"Calgary, Alberta","Females, 18 to 64 years",,6.8
2017,"Calgary, Alberta","Females, 65 years and over",,
2017,"Edmonton, Alberta",All persons,,6.9
2017,"Edmonton, Alberta",Persons under 18 years,,
2017,"Edmonton, Alberta",Persons 18 to 64 years,,7.2
2017,"Edmonton, Alberta",Persons 65 years and over,,5.8
2017,"Edmonton, Alberta",Males,,6.3
2017,"Edmonton, Alberta","Males, under 18 years",,
2017,"Edmonton, Alberta","Males, 18 to 64 years",,6.4
2017,"Edmonton, Alberta","Males, 65 years and over",,
2017,"Edmonton, Alberta",Females,,7.5
2017,"Edmonton, Alberta","Females, under 18 years",,
2017,"Edmonton, Alberta","Females, 18 to 64 years",,8
2017,"Edmonton, Alberta","Females, 65 years and over",,
2017,"Vancouver, British Columbia",All persons,,12.5
2017,"Vancouver, British Columbia",Persons under 18 years,,10.6
2017,"Vancouver, British Columbia",Persons 18 to 64 years,,11.8
2017,"Vancouver, British Columbia",Persons 65 years and over,,17.4
2017,"Vancouver, British Columbia",Males,,11.7
2017,"Vancouver, British Columbia","Males, under 18 years",,12.7
2017,"Vancouver, British Columbia","Males, 18 to 64 years",,11.1
2017,"Vancouver, British Columbia","Males, 65 years and over",,13.3
2017,"Vancouver, British Columbia",Females,,13.3
2017,"Vancouver, British Columbia","Females, under 18 years",,
2017,"Vancouver, British Columbia","Females, 18 to 64 years",,12.6
2017,"Vancouver, British Columbia","Females, 65 years and over",,20.9
2018,Canada,Persons under 18 years,,12.3
2018,Canada,Persons 18 to 64 years,,11.8
2018,Canada,Persons 65 years and over,,14.3
2018,Canada,Males,,11.8
2018,Canada,"Males, under 18 years",,13
2018,Canada,"Males, 18 to 64 years",,11.5
2018,Canada,"Males, 65 years and over",,11.6
2018,Canada,Females,,12.8
2018,Canada,"Females, under 18 years",,11.6
2018,Canada,"Females, 18 to 64 years",,12
2018,Canada,"Females, 65 years and over",,16.6
2018,Atlantic provinces,All persons,,15.2
2018,Atlantic provinces,Persons under 18 years,,15.8
2018,Atlantic provinces,Persons 18 to 64 years,,13.2
2018,Atlantic provinces,Persons 65 years and over,,20.6
2018,Atlantic provinces,Males,,14.5
2018,Atlantic provinces,"Males, under 18 years",,16.6
2018,Atlantic provinces,"Males, 18 to 64 years",,13
2018,Atlantic provinces,"Males, 65 years and over",,17
2018,Atlantic provinces,Females,,15.8
2018,Atlantic provinces,"Females, under 18 years",,15
2018,Atlantic provinces,"Females, 18 to 64 years",,13.3
2018,Atlantic provinces,"Females, 65 years and over",,23.7
2018,Newfoundland and Labrador,All persons,10,16
2018,Newfoundland and Labrador,Persons under 18 years,,15.7
2018,Newfoundland and Labrador,Persons 18 to 64 years,,13.7
2018,Newfoundland and Labrador,Persons 65 years and over,,23.3
2018,Newfoundland and Labrador,Males,,15.8
2018,Newfoundland and Labrador,"Males, under 18 years",,16.7
2018,Newfoundland and Labrador,"Males, 18 to 64 years",,14.4
2018,Newfoundland and Labrador,"Males, 65 years and over",,19.4
2018,Newfoundland and Labrador,Females,,16.2
2018,Newfoundland and Labrador,"Females, under 18 years",,14.6
2018,Newfoundland and Labrador,"Females, 18 to 64 years",,13
2018,Newfoundland and Labrador,"Females, 65 years and over",,26.8
2018,Prince Edward Island,All persons,11,14.6
2018,Prince Edward Island,Persons under 18 years,,15.9
2018,Prince Edward Island,Persons 18 to 64 years,,12
2018,Prince Edward Island,Persons 65 years and over,,21.8
2018,Prince Edward Island,Males,,13.8
2018,Prince Edward Island,"Males, under 18 years",,16.3
2018,Prince Edward Island,"Males, 18 to 64 years",,11.7
2018,Prince Edward Island,"Males, 65 years and over",,18.2
2018,Prince Edward Island,Females,,15.5
2018,Prince Edward Island,"Females, under 18 years",,15.4
2018,Prince Edward Island,"Females, 18 to 64 years",,12.3
2018,Prince Edward Island,"Females, 65 years and over",,24.9
2018,Nova Scotia,All persons,12,15.9
2018,Nova Scotia,Persons under 18 years,,16.8
2018,Nova Scotia,Persons 18 to 64 years,,14.3
2018,Nova Scotia,Persons 65 years and over,,20.2
2018,Nova Scotia,Males,,15.1
2018,Nova Scotia,"Males, under 18 years",,17.8
2018,Nova Scotia,"Males, 18 to 64 years",,13.8
2018,Nova Scotia,"Males, 65 years and over",,16.7
2018,Nova Scotia,Females,,16.7
2018,Nova Scotia,"Females, under 18 years",,15.9
2018,Nova Scotia,"Females, 18 to 64 years",,14.7
2018,Nova Scotia,"Females, 65 years and over",,23.2
2018,New Brunswick,All persons,13,13.8
2018,New Brunswick,Persons under 18 years,,14.7
2018,New Brunswick,Persons 18 to 64 years,,11.7
2018,New Brunswick,Persons 65 years and over,,18.9
2018,New Brunswick,Males,,12.9
2018,New Brunswick,"Males, under 18 years",,15.3
2018,New Brunswick,"Males, 18 to 64 years",,11.4
2018,New Brunswick,"Males, 65 years and over",,15.4
2018,New Brunswick,Females,,14.6
2018,New Brunswick,"Females, under 18 years",,14.1
2018,New Brunswick,"Females, 18 to 64 years",,12
2018,New Brunswick,"Females, 65 years and over",,22.1
2018,Quebec,All persons,24,14
2018,Quebec,Persons under 18 years,,11.7
2018,Quebec,Persons 18 to 64 years,,12.8
2018,Quebec,Persons 65 years and over,,20.4
2018,Quebec,Males,,13
2018,Quebec,"Males, under 18 years",,11.5
2018,Quebec,"Males, 18 to 64 years",,12.5
2018,Quebec,"Males, 65 years and over",,16.1
2018,Quebec,Females,,15.1
2018,Quebec,"Females, under 18 years",,11.8
2018,Quebec,"Females, 18 to 64 years",,13.1
2018,Quebec,"Females, 65 years and over",,24.1
2018,Ontario,All persons,35,12.4
2018,Ontario,Persons under 18 years,,13.9
2018,Ontario,Persons 18 to 64 years,,12.3
2018,Ontario,Persons 65 years and over,,11.3
2018,Ontario,Males,,12
2018,Ontario,"Males, under 18 years",,14.8
2018,Ontario,"Males, 18 to 64 years",,11.7
2018,Ontario,"Males, 65 years and over",,9.3
2018,Ontario,Females,,12.9
2018,Ontario,"Females, under 18 years",,12.9
2018,Ontario,"Females, 18 to 64 years",,12.8
2018,Ontario,"Females, 65 years and over",,13.1
2018,Prairie provinces,All persons,,9.7
2018,Prairie provinces,Persons under 18 years,,10.7
2018,Prairie provinces,Persons 18 to 64 years,,9.4
2018,Prairie provinces,Persons 65 years and over,,9.2
2018,Prairie provinces,Males,,9.4
2018,Prairie provinces,"Males, under 18 years",,11.1
2018,Prairie provinces,"Males, 18 to 64 years",,9.1
2018,Prairie provinces,"Males, 65 years and over",,7.5
2018,Prairie provinces,Females,,10
2018,Prairie provinces,"Females, under 18 years",,10.3
2018,Prairie provinces,"Females, 18 to 64 years",,9.7
2018,Prairie provinces,"Females, 65 years and over",,10.7
2018,Manitoba,All persons,46,14.1
2018,Manitoba,Persons under 18 years,,19
2018,Manitoba,Persons 18 to 64 years,,12.2
2018,Manitoba,Persons 65 years and over,,14.8
2018,Manitoba,Males,,13.3
2018,Manitoba,"Males, under 18 years",,19.5
2018,Manitoba,"Males, 18 to 64 years",,11.7
2018,Manitoba,"Males, 65 years and over",,10.5
2018,Manitoba,Females,,14.8
2018,Manitoba,"Females, under 18 years",,18.4
2018,Manitoba,"Females, 18 to 64 years",,12.6
2018,Manitoba,"Females, 65 years and over",,18.6
2018,Saskatchewan,All persons,47,13
2018,Saskatchewan,Persons under 18 years,,14.3
2018,Saskatchewan,Persons 18 to 64 years,,12.5
2018,Saskatchewan,Persons 65 years and over,,13.4
2018,Saskatchewan,Males,,12.3
2018,Saskatchewan,"Males, under 18 years",,13.4
2018,Saskatchewan,"Males, 18 to 64 years",,12.3
2018,Saskatchewan,"Males, 65 years and over",,10.8
2018,Saskatchewan,Females,,13.8
2018,Saskatchewan,"Females, under 18 years",,15.2
2018,Saskatchewan,"Females, 18 to 64 years",,12.7
2018,Saskatchewan,"Females, 65 years and over",,15.6
2018,Alberta,All persons,48,7.5
2018,Alberta,Persons under 18 years,,7.3
2018,Alberta,Persons 18 to 64 years,,7.9
2018,Alberta,Persons 65 years and over,,5.9
2018,Alberta,Males,,7.5
2018,Alberta,"Males, under 18 years",,8
2018,Alberta,"Males, 18 to 64 years",,7.7
2018,Alberta,"Males, 65 years and over",,5.4
2018,Alberta,Females,,7.6
2018,Alberta,"Females, under 18 years",,6.6
2018,Alberta,"Females, 18 to 64 years",,8.2
2018,Alberta,"Females, 65 years and over",,6.4
2018,British Columbia,All persons,59,11.2
2018,British Columbia,Persons under 18 years,,9.4
2018,British Columbia,Persons 18 to 64 years,,11.1
2018,British Columbia,Persons 65 years and over,,13.1
2018,British Columbia,Males,,11.6
2018,British Columbia,"Males, under 18 years",,11.1
2018,British Columbia,"Males, 18 to 64 years",,11.8
2018,British Columbia,"Males, 65 years and over",,11.2
2018,British Columbia,Females,,10.8
2018,British Columbia,"Females, under 18 years",,7.5
2018,British Columbia,"Females, 18 to 64 years",,10.5
2018,British Columbia,"Females, 65 years and over",,14.9
2018,"Québec, Quebec",All persons,,11.3
2018,"Québec, Quebec",Persons under 18 years,,9.5
2018,"Québec, Quebec",Persons 18 to 64 years,,10.5
2018,"Québec, Quebec",Persons 65 years and over,,17
2018,"Québec, Quebec",Males,,11.5
2018,"Québec, Quebec","Males, under 18 years",,12.3
2018,"Québec, Quebec","Males, 18 to 64 years",,10
2018,"Québec, Quebec","Males, 65 years and over",,16.8
2018,"Québec, Quebec",Females,,11.2
2018,"Québec, Quebec","Females, under 18 years",,
2018,"Québec, Quebec","Females, 18 to 64 years",,10.9
2018,"Québec, Quebec","Females, 65 years and over",,17.1
2018,"Montréal, Quebec",All persons,,13.5
2018,"Montréal, Quebec",Persons under 18 years,,12.6
2018,"Montréal, Quebec",Persons 18 to 64 years,,12.9
2018,"Montréal, Quebec",Persons 65 years and over,,16.5
2018,"Montréal, Quebec",Males,,11.9
2018,"Montréal, Quebec","Males, under 18 years",,12.4
2018,"Montréal, Quebec","Males, 18 to 64 years",,12.2
2018,"Montréal, Quebec","Males, 65 years and over",,9.7
2018,"Montréal, Quebec",Females,,15
2018,"Montréal, Quebec","Females, under 18 years",,12.9
2018,"Montréal, Quebec","Females, 18 to 64 years",,13.6
2018,"Montréal, Quebec","Females, 65 years and over",,21.9
2018,"Ottawa-Gatineau, Ontario/Quebec",All persons,,12
2018,"Ottawa-Gatineau, Ontario/Quebec",Persons under 18 years,,12.4
2018,"Ottawa-Gatineau, Ontario/Quebec",Persons 18 to 64 years,,11.8
2018,"Ottawa-Gatineau, Ontario/Quebec",Persons 65 years and over,,12.4
2018,"Ottawa-Gatineau, Ontario/Quebec",Males,,12.3
2018,"Ottawa-Gatineau, Ontario/Quebec","Males, under 18 years",,12.2
2018,"Ottawa-Gatineau, Ontario/Quebec","Males, 18 to 64 years",,13
2018,"Ottawa-Gatineau, Ontario/Quebec","Males, 65 years and over",,9.3
2018,"Ottawa-Gatineau, Ontario/Quebec",Females,,11.8
2018,"Ottawa-Gatineau, Ontario/Quebec","Females, under 18 years",,12.6
2018,"Ottawa-Gatineau, Ontario/Quebec","Females, 18 to 64 years",,10.6
2018,"Ottawa-Gatineau, Ontario/Quebec","Females, 65 years and over",,15
2018,"Toronto, Ontario",All persons,,13.1
2018,"Toronto, Ontario",Persons under 18 years,,14.6
2018,"Toronto, Ontario",Persons 18 to 64 years,,12.9
2018,"Toronto, Ontario",Persons 65 years and over,,11.6
2018,"Toronto, Ontario",Males,,12.9
2018,"Toronto, Ontario","Males, under 18 years",,15.9
2018,"Toronto, Ontario","Males, 18 to 64 years",,12.5
2018,"Toronto, Ontario","Males, 65 years and over",,10.2
2018,"Toronto, Ontario",Females,,13.3
2018,"Toronto, Ontario","Females, under 18 years",,13.2
2018,"Toronto, Ontario","Females, 18 to 64 years",,13.4
2018,"Toronto, Ontario","Females, 65 years and over",,12.9
2018,"Winnipeg, Manitoba",All persons,,13.5
2018,"Winnipeg, Manitoba",Persons under 18 years,,19.3
2018,"Winnipeg, Manitoba",Persons 18 to 64 years,,11.9
2018,"Winnipeg, Manitoba",Persons 65 years and over,,12.7
2018,"Winnipeg, Manitoba",Males,,12.8
2018,"Winnipeg, Manitoba","Males, under 18 years",,19.6
2018,"Winnipeg, Manitoba","Males, 18 to 64 years",,11.4
2018,"Winnipeg, Manitoba","Males, 65 years and over",,9.4
2018,"Winnipeg, Manitoba",Females,,14.2
2018,"Winnipeg, Manitoba","Females, under 18 years",,19.1
2018,"Winnipeg, Manitoba","Females, 18 to 64 years",,12.4
2018,"Winnipeg, Manitoba","Females, 65 years and over",,15.5
2018,"Calgary, Alberta",All persons,,8.7
2018,"Calgary, Alberta",Persons under 18 years,,
2018,"Calgary, Alberta",Persons 18 to 64 years,,9.2
2018,"Calgary, Alberta",Persons 65 years and over,,
2018,"Calgary, Alberta",Males,,8.7
2018,"Calgary, Alberta","Males, under 18 years",,
2018,"Calgary, Alberta","Males, 18 to 64 years",,9
2018,"Calgary, Alberta","Males, 65 years and over",,
2018,"Calgary, Alberta",Females,,8.6
2018,"Calgary, Alberta","Females, under 18 years",,
2018,"Calgary, Alberta","Females, 18 to 64 years",,9.3
2018,"Calgary, Alberta","Females, 65 years and over",,
2018,"Edmonton, Alberta",All persons,,6.1
2018,"Edmonton, Alberta",Persons under 18 years,,5.6
2018,"Edmonton, Alberta",Persons 18 to 64 years,,6.5
2018,"Edmonton, Alberta",Persons 65 years and over,,5.1
2018,"Edmonton, Alberta",Males,,5.6
2018,"Edmonton, Alberta","Males, under 18 years",,5.7
2018,"Edmonton, Alberta","Males, 18 to 64 years",,5.6
2018,"Edmonton, Alberta","Males, 65 years and over",,
2018,"Edmonton, Alberta",Females,,6.7
2018,"Edmonton, Alberta","Females, under 18 years",,5.6
2018,"Edmonton, Alberta","Females, 18 to 64 years",,7.4
2018,"Edmonton, Alberta","Females, 65 years and over",,5
2018,"Vancouver, British Columbia",All persons,,11.1
2018,"Vancouver, British Columbia",Persons under 18 years,,8.4
2018,"Vancouver, British Columbia",Persons 18 to 64 years,,11.4
2018,"Vancouver, British Columbia",Persons 65 years and over,,13.2
2018,"Vancouver, British Columbia",Males,,12.1
2018,"Vancouver, British Columbia","Males, under 18 years",,10.6
2018,"Vancouver, British Columbia","Males, 18 to 64 years",,12.6
2018,"Vancouver, British Columbia","Males, 65 years and over",,11.7
2018,"Vancouver, British Columbia",Females,,10.2
2018,"Vancouver, British Columbia","Females, under 18 years",,
2018,"Vancouver, British Columbia","Females, 18 to 64 years",,10.3
2018,"Vancouver, British Columbia","Females, 65 years and over",,14.5
2019,Canada,Persons under 18 years,,11.4
2019,Canada,Persons 18 to 64 years,,11.4
2019,Canada,Persons 65 years and over,,15.2
2019,Canada,Males,,11.2
2019,Canada,"Males, under 18 years",,11.4
2019,Canada,"Males, 18 to 64 years",,10.9
2019,Canada,"Males, 65 years and over",,12.5
2019,Canada,Females,,12.8
2019,Canada,"Females, under 18 years",,11.5
2019,Canada,"Females, 18 to 64 years",,11.8
2019,Canada,"Females, 65 years and over",,17.6
2019,Atlantic provinces,All persons,,15.1
2019,Atlantic provinces,Persons under 18 years,,16.6
2019,Atlantic provinces,Persons 18 to 64 years,,12.6
2019,Atlantic provinces,Persons 65 years and over,,21.4
2019,Atlantic provinces,Males,,13.8
2019,Atlantic provinces,"Males, under 18 years",,16.9
2019,Atlantic provinces,"Males, 18 to 64 years",,11.9
2019,Atlantic provinces,"Males, 65 years and over",,16.9
2019,Atlantic provinces,Females,,16.4
2019,Atlantic provinces,"Females, under 18 years",,16.4
2019,Atlantic provinces,"Females, 18 to 64 years",,13.3
2019,Atlantic provinces,"Females, 65 years and over",,25.3
2019,Newfoundland and Labrador,All persons,10,14.7
2019,Newfoundland and Labrador,Persons under 18 years,,13.1
2019,Newfoundland and Labrador,Persons 18 to 64 years,,10.7
2019,Newfoundland and Labrador,Persons 65 years and over,,27.3
2019,Newfoundland and Labrador,Males,,13.4
2019,Newfoundland and Labrador,"Males, under 18 years",,14.6
2019,Newfoundland and Labrador,"Males, 18 to 64 years",,9.5
2019,Newfoundland and Labrador,"Males, 65 years and over",,24.2
2019,Newfoundland and Labrador,Females,,15.9
2019,Newfoundland and Labrador,"Females, under 18 years",,11.6
2019,Newfoundland and Labrador,"Females, 18 to 64 years",,11.9
2019,Newfoundland and Labrador,"Females, 65 years and over",,30.2
2019,Prince Edward Island,All persons,11,14.4
2019,Prince Edward Island,Persons under 18 years,,18.6
2019,Prince Edward Island,Persons 18 to 64 years,,12.3
2019,Prince Edward Island,Persons 65 years and over,,16.6
2019,Prince Edward Island,Males,,13.7
2019,Prince Edward Island,"Males, under 18 years",,19
2019,Prince Edward Island,"Males, 18 to 64 years",,12
2019,Prince Edward Island,"Males, 65 years and over",,13.3
2019,Prince Edward Island,Females,,15
2019,Prince Edward Island,"Females, under 18 years",,18.1
2019,Prince Edward Island,"Females, 18 to 64 years",,12.6
2019,Prince Edward Island,"Females, 65 years and over",,19.5
2019,Nova Scotia,All persons,12,15.7
2019,Nova Scotia,Persons under 18 years,,16.9
2019,Nova Scotia,Persons 18 to 64 years,,13.9
2019,Nova Scotia,Persons 65 years and over,,20
2019,Nova Scotia,Males,,14.4
2019,Nova Scotia,"Males, under 18 years",,17.6
2019,Nova Scotia,"Males, 18 to 64 years",,13.3
2019,Nova Scotia,"Males, 65 years and over",,15.3
2019,Nova Scotia,Females,,16.9
2019,Nova Scotia,"Females, under 18 years",,16.1
2019,Nova Scotia,"Females, 18 to 64 years",,14.6
2019,Nova Scotia,"Females, 65 years and over",,24
2019,New Brunswick,All persons,13,14.9
2019,New Brunswick,Persons under 18 years,,18.2
2019,New Brunswick,Persons 18 to 64 years,,12.2
2019,New Brunswick,Persons 65 years and over,,19.9
2019,New Brunswick,Males,,13.2
2019,New Brunswick,"Males, under 18 years",,17.1
2019,New Brunswick,"Males, 18 to 64 years",,11.6
2019,New Brunswick,"Males, 65 years and over",,14.5
2019,New Brunswick,Females,,16.5
